month_period,lat_bin_1deg,lon_bin_1deg,gap_count,total_gap_hours,unique_vessels
2017-01,4,-4,2,504.3666666666667,2
2017-01,4,160,2,50.0,1
2017-01,4,170,2,67.85,2
2017-01,5,-24,2,34.45,1
2017-01,5,-20,2,36.266666666666666,1
2017-01,9,-18,2,42.93333333333334,1
2017-01,10,175,2,291.25,2
2017-01,11,-179,2,297.6333333333333,2
2017-01,12,-18,2,40.8,2
2017-01,12,153,2,24.616666666666667,2
2017-01,12,176,2,36.53333333333333,1
2017-01,12,177,2,34.06666666666667,1
2017-01,13,175,2,38.63333333333333,2
2017-01,13,176,2,28.283333333333335,1
2017-01,15,-180,2,34.85,2
2017-01,16,-163,2,39.93333333333334,1
2017-01,21,149,2,26.166666666666664,2
2017-01,23,147,2,30.78333333333333,2
2017-01,24,-161,2,37.86666666666667,2
2017-01,26,-159,2,39.45,1
2017-01,30,-167,2,36.083333333333336,2
2017-01,30,-162,2,104.80000000000001,1
2017-01,30,178,2,45.5,1
2017-01,32,-35,2,59.550000000000004,1
2017-01,39,-73,2,29.8,1
2017-01,43,-50,2,37.86666666666667,1
2017-01,47,-47,2,89.33333333333334,1
2017-01,48,-11,2,27.516666666666666,2
2017-01,49,-11,2,43.03333333333333,2
2017-01,52,154,2,2590.0499999999997,2
2017-01,53,-13,2,80.13333333333333,2
2017-01,54,-168,2,94.76666666666665,2
2017-01,55,148,2,24.35,2
2017-01,56,-172,2,272.7,2
2017-01,57,149,2,29.116666666666667,2
2017-01,71,16,2,28.733333333333334,1
2017-01,-62,172,1,122.6,1
2017-01,-60,171,1,538.8333333333334,1
2017-01,-55,173,1,15.766666666666667,1
2017-01,-54,-66,1,180.38333333333333,1
2017-01,-54,-64,1,127.76666666666668,1
2017-01,-53,-67,1,64.85,1
2017-01,-52,161,1,72.76666666666667,1
2017-01,-50,-54,1,80.26666666666667,1
2017-01,-49,-56,1,878.15,1
2017-01,-49,72,1,56.016666666666666,1
2017-01,-48,-61,1,28.266666666666666,1
2017-01,-46,-60,1,19.366666666666667,1
2017-01,-45,-58,1,120.85,1
2017-01,-45,148,1,74.33333333333333,1
2017-01,-44,-179,1,16.016666666666666,1
2017-01,-44,-60,1,2124.1833333333334,1
2017-01,-44,143,1,304.03333333333336,1
2017-01,-44,174,1,379.43333333333334,1
2017-01,-43,-54,1,12.15,1
2017-01,-42,-57,1,48.05,1
2017-01,-42,-56,1,82.93333333333334,1
2017-01,-42,-47,1,23.05,1
2017-01,-42,-46,1,25.916666666666668,1
2017-01,-41,-169,1,14.216666666666669,1
2017-01,-41,-168,1,14.866666666666667,1
2017-01,-41,-31,1,1364.4833333333331,1
2017-01,-40,-164,1,61.833333333333336,1
2017-01,-40,-53,1,142.38333333333333,1
2017-01,-39,-38,1,61.53333333333333,1
2017-01,-39,48,1,44.516666666666666,1
2017-01,-38,-53,1,96.61666666666666,1
2017-01,-37,-19,1,34.36666666666667,1
2017-01,-37,-7,1,1717.05,1
2017-01,-37,28,1,88.98333333333333,1
2017-01,-37,51,1,32.31666666666667,1
2017-01,-36,1,1,27.1,1
2017-01,-36,7,1,13.5,1
2017-01,-36,22,1,50.85,1
2017-01,-36,23,1,94.81666666666666,1
2017-01,-36,44,1,36.3,1
2017-01,-36,53,1,13.0,1
2017-01,-35,4,1,12.4,1
2017-01,-35,43,1,21.35,1
2017-01,-34,-78,1,39.333333333333336,1
2017-01,-33,164,1,30.733333333333334,1
2017-01,-30,-128,1,28.35,1
